ip,up,upt,dn,dnt
83.175,43,1375472922.88,98,1375472922.88
70.79,43,1375472922.88,101,1375472922.88
89.16,30,1375472922.88,30768,1375474482.212
110.172,43,1375472922.88,53,1375472922.88
79.136,87,1375473246.1096,203,1375473246.1096
128.72,308,1375473762.17,215,1375473762.17
176.10,43,1375472922.88,105,1375472925.31
176.195,43,1375472922.88,101,1375473339.289
88.84,43,1375472922.88,101,1375472925.31
194.84,43,1375472922.88,0,-1
130.204,180,1375473438.1544,127,1375473438.1544
193.120,537,1375474890.23,1043,1375474551.16
216.113,1741,1375473186.337,2778,1375473186.337
190.179,43,1375472925.31,0,-1
82.231,43,1375472925.31,0,-1
176.15,43,1375472925.31,101,1375472925.31
84.39,43,1375472925.31,0,-1
46.185,44,1375475085.281,342,1375475088.2949
86.18,43,1375472925.31,98,1375472925.31
221.208,43,1375472925.31,108,1375472925.31
91.121,2373,1375474173.297,27084,1375474914.2183
83.139,43,1375472925.31,101,1375472925.31
94.14,43,1375472925.31,101,1375472925.31
114.45,43,1375472925.31,98,1375473243.329
88.165,43,1375472925.31,98,1375472925.31
70.83,43,1375472925.31,105,1375472925.31
95.87,87,1375472925.31,105,1375475157.336
27.33,43,1375472925.31,105,1375472925.31
89.156,43,1375472925.31,101,1375472925.31
78.116,43,1375472925.31,105,1375472925.31
50.71,43,1375472925.31,18,1375472925.31
131.253,5390,1375474899.1520,15902,1375474899.1520
118.167,43,1375472925.31,53,1375472925.31
59.182,43,1375472925.31,0,-1
203.205,9625,1375474842.545,701,1375474842.545
207.46,10155,1375474047.3909,14976,1375474047.3909
14.47,43,1375472925.31,53,1375472925.31
46.63,43,1375472925.31,0,-1
178.71,43,1375472925.31,0,-1
91.77,43,1375472925.31,0,-1
111.93,59,1375472928.90,18,1375475139.75
70.37,612,1375474146.856,1574,1375474146.856
184.73,270115,1375473768.446,124814,1375475364.1031
93.80,43,1375472928.90,0,-1
2.150,43,1375472928.90,0,-1
184.37,43,1375472928.90,0,-1
95.68,43,1375472928.90,101,1375473312.114
95.27,43,1375472928.90,105,1375472928.90
78.48,43,1375472928.90,0,-1
41.133,132,1375475061.574,108,1375475061.574
46.71,43,1375472928.90,0,-1
96.41,256,1375473738.135,98,1375472928.90
86.2,43,1375472928.90,105,1375472928.90
177.16,43,1375472928.90,105,1375472928.90
2.132,43,1375472928.90,101,1375472928.90
118.36,43,1375472928.90,101,1375472928.90
37.152,43,1375472928.90,105,1375472943.463
37.59,43,1375472928.90,101,1375473360.9606
69.136,43,1375472928.90,105,1375472928.90
70.73,43,1375472928.90,105,1375475079.452
204.2,1375,1375474206.134,3158,1375473144.858
1.186,43,1375472928.90,101,1375472928.90
126.107,43,1375472928.90,0,-1
190.23,43,1375472928.90,98,1375472928.90
68.71,4943,1375475004.1965,43319,1375473591.112
93.144,43,1375472928.90,0,-1
91.127,43,1375472928.90,0,-1
86.57,43,1375472928.90,101,1375472931.717
37.115,43,1375472928.90,101,1375472928.90
79.114,43,1375472928.90,101,1375472928.90
194.79,1973,1375473327.327,26355,1375473330.318
46.2,43,1375472928.90,105,1375472931.717
98.158,954,1375473015.1055,15291,1375473582.893
174.37,1248,1375473675.861,31768,1375473675.861
194.209,0,-1,95,1375472928.90
75.106,43,1375472931.717,0,-1
2.88,43,1375472931.717,0,-1
90.0,43,1375472931.717,105,1375472931.717
90.221,43,1375472931.717,0,-1
123.126,139,1375472931.717,146,1375473783.13
92.252,43,1375472931.717,0,-1
31.63,43,1375472931.717,101,1375472931.717
39.47,43,1375472931.717,101,1375472931.717
24.202,43,1375472931.717,98,1375472931.717
24.0,43,1375472931.717,0,-1
58.23,43,1375472931.717,0,-1
213.91,43,1375472931.717,0,-1
178.136,43,1375472931.717,0,-1
54.245,1347,1375474995.311,1368,1375474995.311
5.167,87,1375472931.717,203,1375472931.717
207.207,43,1375472931.717,101,1375472931.717
80.98,43,1375472931.717,0,-1
89.31,43,1375472931.717,0,-1
178.252,15,1375472931.717,15,1375472934.276
64.210,1318,1375474374.344,29222,1375474374.344
66.133,94,1375472931.717,69,1375472931.717
46.146,43,1375472934.276,104,1375474614.359
72.5,6711,1375472937.13,200120,1375472937.13
85.254,275,1375473564.400,199,1375473564.400
91.146,43,1375472934.276,101,1375472934.276
79.183,43,1375472934.276,101,1375472934.276
95.103,43,1375472934.276,101,1375472934.276
168.61,655158,1375473987.121,11477,1375473987.121
204.154,1877,1375473513.197,4994,1375473939.55
199.47,3632,1375473717.253,135171,1375473717.253
184.25,44410,1375473024.1267,565704,1375473024.1267
50.97,12502,1375473018.576,10733,1375473018.576
94.136,521,1375472937.13,1335,1375472937.13
91.209,502,1375475055.193,748,1375475055.193
77.234,612,1375475010.133,2095,1375475010.133
87.68,59,1375473231.204,29,1375473063.836
72.44,651,1375474491.97,1313,1375474491.97
184.22,0,-1,679815,1375472982.20
239.255,343,1375472940.227,0,-1
76.17,25,1375472940.227,25,1375472940.227
190.160,43,1375473363.269,105,1375473363.269
216.239,1754,1375473993.2126,3771,1375473993.2126
63.208,2511,1375474065.56,460,1375474065.56
208.53,58,1375474149.236,50,1375475388.19
63.215,3938,1375473513.197,8905,1375475214.16
98.129,3500,1375474302.400,39023,1375473879.271
119.82,1390,1375473867.1599,1373,1375473228.9068
199.167,176,1375473825.111,132,1375473825.111
199.27,16096,1375473861.273,553785,1375473861.273
206.165,3814,1375473315.58,28930,1375475358.320
70.10,201,1375473804.6,0,-1
64.27,691,1375473558.1452,3251,1375474968.678
50.63,6640,1375475223.45,188486,1375475223.45
65.39,873,1375472952.514,17788,1375472952.514
143.127,503,1375473804.6,1681,1375473804.6
216.136,720,1375473009.365,2697,1375473015.1055
173.73,0,-1,35,1375472955.1015
63.245,143638,1375472973.91,54455,1375475064.7
208.69,415,1375472958.100,1630,1375472958.100
98.217,0,-1,49,1375472958.100
200.38,64,1375472961.588,0,-1
216.38,3619,1375473885.617,102616,1375473885.617
46.51,850,1375473018.576,4702,1375473927.34
170.149,3707,1375472970.339,17223,1375473186.337
138.108,2010,1375475214.16,3532,1375475067.74
208.92,17211,1375474626.416,465082,1375474626.416
112.106,1246,1375474650.26,4146,1375474497.31
149.9,14146,1375474281.977,276652,1375474281.977
216.157,4976,1375474035.392,51716,1375474035.392
5.255,414,1375472976.247,300,1375472976.247
72.14,6929,1375472973.91,75764,1375472970.339
54.239,4864,1375473501.653,65985,1375473501.653
207.171,22545,1375474176.11,944326,1375474176.11
206.191,4646,1375473018.576,4251,1375473018.576
209.15,780,1375472973.91,495,1375472973.91
209.244,1143,1375472976.247,4545,1375472973.91
132.163,25,1375472973.91,25,1375472973.91
50.112,3607,1375473627.381,23291,1375473189.830
128.101,1787,1375473003.2213,30000,1375473009.365
132.239,913,1375472973.91,3208,1375474596.242
184.86,5609,1375475295.1430,103094,1375473321.19
69.160,627,1375473966.47,259,1375473966.47
67.228,2810,1375473504.217,25959,1375473504.217
17.164,10283,1375473957.80,33699,1375473912.607
184.106,4124,1375473342.1064,16936,1375473342.1064
137.254,0,-1,1344,1375472976.247
68.67,7874,1375473018.576,8286,1375473018.576
142.54,25,1375472979.35,25,1375472979.35
66.231,280,1375473006.21,180,1375474971.794
208.75,977,1375473204.347,28696,1375473204.347
205.251,562031,1375473468.2053,74343,1375473795.1278
63.116,5298,1375474464.258,1081,1375474089.34
